Labels,Document Files,Section,Issue Number,Title,Contributor
Feature,Auto-completion,Function completion,6173,EDIFACT and X12 lexers are missing from NP++,Yang
Feature,Auto-completion,Function completion,5296,Enable.disable auto-complete based on specific file/file type,Yang
Bug,Auto-completion,Sorting,7911,Add document length to Windows-dialog,Yang
Bug,Auto-completion,Auto-insertion,7742,Fix auto-insert bug,Yang
Bug,Auto-completion,Function completion,6233,Fix initialization of _monospacedFontFinfDlg parameter,Yang
Bug,Auto-completion,Auto-insertion,6032,Fix tag-names in slovenian.xml,Yang
Bug,Auto-completion,sorting,5893,Correctly sort absurdly large numbers,Yang
Bug,Auto-completion,Function completion,4572,Rebol lexer has incorrect lexer definition,Yang
Bug,Auto-completion,Sorting,3391,Crash on sort by column when selection beyond eol,Yang
Bug,Auto-completion,Auto-insertion,2050,N++ automatically closes XML Processing Instruction tag,Yang
Bug,Auto-completion,Auto-insertion,957,Auto-insert for XML comment incorrect,Yang
Bug,Auto-completion,sorting,443,"""Auto-indent"" option annoyances",Yang
Bug,Auto-completion,Auto-insertion,275,Auto-insert doesn't insert,Yang
Enhancement,auto-completion,Auto-completion ,584,Auto-insertion of apices too aggressive,Chang
Enhancement,auto-completion,Auto-completion ,450,Auto-Insert matching pair only before whitespace character or end of line,Chang
Enhancement,auto-completion,Auto-completion ,625,manually activated autocomplete list not properly working,Chang
Bug,binary-translation,Teach Notepad++ to speak your language easily,5236,japanese translation of ¡°find in file¡± window tabs broken,Yang
Bug,binary-translation,Teach Notepad++ to speak your language easily,5084,Update brazilian_portuguese.xml,Yang
Bug,binary-translation,Teach Notepad++ to speak your language easily,5083,Update portuguese.xml,Yang
Bug,binary-translation,Teach Notepad++ to speak your language easily,5082,Update spanish.xml,Yang
Bug,binary-translation,Teach Notepad++ to speak your language easily,5081,Update occitan.xml,Yang
Bug,binary-translation,Available translations,598,notepad++ It is not compatible with Arabic texts,Yang
Enhancement,binary-translation,binary-translation ,5594,add capabilty to translate file summary dialog info,Chang
Enhancement,binary-translation,binary-translation ,1487,There are string not settable from XML,Chang
Enhancement,binary-translation,binary-translation ,1475,Add 3 missing translatable items to master XML for 6.8.8,Chang
Enhancement,binary-translation,binary-translation ,717,translation: Update Chinese (Simplified) translation,Chang
Enhancement,binary-translation,binary-translation ,767,Update turkish.xml,Chang
Enhancement,binary-translation,binary-translation ,759,Add 2 missing translatable items to original XML (for 6.8.2),Chang
Enhancement,binary-translation,binary-translation ,758,Hungarian translation update for Notepad++ 6.8.2,Chang
Enhancement,binary-translation,binary-translation ,748,Update albanian.xml,Chang
Enhancement,binary-translation,binary-translation ,742,Update of Ukrainian lang,Chang
Enhancement,binary-translation,binary-translation ,728,[UPDATE] Bulgarian language,Chang
Enhancement,binary-translation,binary-translation ,688,Update turkish.xml,Chang
Enhancement,binary-translation,binary-translation ,678,Update portuguese.xml,Chang
Enhancement,binary-translation,binary-translation ,635,Update german.xml for 6.8,Chang
Enhancement,binary-translation,binary-translation ,626,Make status bar translatable,Chang
Enhancement,binary-translation,binary-translation ,599,Update portuguese.xml,Chang
Enhancement,binary-translation,binary-translation ,575,Update bulgarian.xml,Chang
Enhancement,binary-translation,binary-translation ,566,Update of German language file,Chang
Enhancement,binary-translation,binary-translation ,550,Update dutch language again,Chang
Enhancement,binary-translation,binary-translation ,541,Hungarian translation update for Notepad++ 6.8,Chang
Enhancement,binary-translation,binary-translation ,537,Update dutch language,Chang
Enhancement,binary-translation,binary-translation ,499,Update italian language 15.07.2015,Chang
Enhancement,binary-translation,binary-translation ,464,Repair and update of Ukrainian locale after fix encoding,Chang
Enhancement,binary-translation,binary-translation ,433,Update turkish.xml,Chang
Enhancement,binary-translation,binary-translation ,408,Hungarian translation update for Notepad++ 6.7.9.2,Chang
Feature,command-prompt,Help usage,5597,Copy file name too under folder As Workspace,Yang
Feature,command-prompt,Help usage,5574,"Context menu ""Folder as Workspace""",Yang
Feature,command-prompt,Help usage,4872,Remember read-only status of opened files,Yang
Feature,command-prompt,Help usage,4409,Read-only Flag Cleared Upon Close&Reopen,Yang
Feature,command-prompt,Help usage,1459,Dynamically share Notepad++ Configuration Between Multiple Instances '-multilnst',Yang
Feature,command-prompt,Help usage,621,Open one instance per virtual desktop,Yang
Feature,command-prompt,Help usage,545,Make buildin easter eggs optional (as plugin),Yang
Enhancement,command-prompt,command-prompt ,5883,Fix Notepad commandline style parsing,Chang
Enhancement,command-prompt,command-prompt ,2030,Added new Variable: NPP_ROOT_DIRECTORY,Chang
Enhancement,command-prompt,command-prompt ,2018,Recognize new file type when created from the command line,Chang
Enhancement,command-prompt,command-prompt ,2016,Notepad++ ignores the file type of a new file when invoked from command line,Chang
Enhancement,command-prompt,command-prompt ,923,Desired line is often hidden with -n argument,Chang
Enhancement,command-prompt,command-prompt ,753,Add a list of commonly available Linux commands.,Chang
Bug,config-files,Other Configuration Files,5664,File is erased on save when there is no free space left on disk,Yang
Bug,config-files,The context menu: contextMenu.xml,6111,Allow Rename (file) command to change file's drive,Yang
Bug,config-files,User Interface settings: config.xml,5845,-nosession' must not overwrite config.xml,Yang
Bug,config-files,<Macros>,5774,Fix bug in IDM_EDIT_CLEARREADONLY,Yang
Bug,config-files,<Macros>,5768,IDM_EDIT_CLEARREADONLY makes file readonly,Yang
Bug,config-files,Editing Configuration Files,3246,Enable save button after underlying file is changed externally,Yang
Bug,config-files,The context menu: contextMenu.xml,1996,Wrong language type when using explorer context menu,Yang
Bug,config-files,Editing Configuration Files,915,Save All Button is still enabled,Yang
Bug,config-files,Editing Configuration Files,850,Save All' button doesn't become greyed out when it should,Yang
Bug,config-files,Editing Configuration Files,529,"""Save"" not available after editing a file",Yang
Bug,config-files,The context menu: contextMenu.xml,734,Copy or Paste through Context Menu causes N++ window to change size,Yang
Bug,config-files,Keyboard shortcuts: shortcuts.xml,589,plugin shortcut configuration lost with option -noPlugin,Yang
Bug,config-files,The context menu: contextMenu.xml,492,Fix Context menu not shown regression bug [fixes issue #383],Yang
Bug,config-files,The context menu: contextMenu.xml,383,Context menu does not work after find in files,Yang
Enhancement,config-files,config-files ,5276,No more dummy in config file,Chang
Enhancement,config-files,config-files ,5065,PHP: Support styling of complex variables in strings,Chang
Enhancement,config-files,config-files ,2031,Improved Single Line Comment,Chang
Enhancement,config-files,config-files ,1848,VHDL language colorizer,Chang
Enhancement,config-files,config-files ,477,"shortcuts.xml: What's the meaning of ""Open in another instance""?",Chang
Enhancement,config-files,config-files ,661,Add syntax highlighting for ECMAScript 2016 (and fix ES5 syntax highlighting too),Chang
Enhancement,config-files,config-files ,779,Update german.xml,Chang
Enhancement,config-files,config-files ,542,Add 11 missing translatable items to original XML,Chang
Enhancement,config-files,config-files ,7738,"Add ""commandLineInterpreter"" setting in config.xml",Chang
Enhancement,config-files,config-files ,7737,User-configurable command line interpreter,Chang
Enhancement,config-files,config-files ,665,Store / Recall Layout View for dockables,Chang
Enhancement,config-files,config-files ,7980,Add support for auto-indenting Perl and Rust.,Chang
Enhancement,config-files,config-files ,1942,Appveyor artifacts debug and release,Chang
Feature,Editing,Dual View,2901,Needs more columns,Yang
Feature,Editing,Dual View,406,Double-click splitter to resize both panes to equal size,Yang
Bug,Editing,Column Mode & Column Editor,2820,NPP crash during column mode number insertion,Yang
Bug,Editing,Column Mode & Column Editor,1361,Column Editor,Yang
Bug,Editing,Column Mode & Column Editor,1237,"Column Mode & Column Editor""Update Notepad++"" requires certificate support (InitializeSecurityContext failed)",Yang
Bug,Editing,Dual View,548,Split screen mode  window does not maintain postion,Yang
Enhancement,editing,Editing ,465,drag-to-scroll  horizontal-panes  etc,Chang
Feature,Function-List,Link to Language,5729,Wbudowany Tlumacz,Yang
Feature,Function-List,How to customize function-list,276,Ignore comments' checkbox in the 'Find' dialog,Yang
Bug,function-list,Link to Language,609,Fix for function-list issue #457,Yang
Bug,function-list,Link to Language,457,"Notepad++ does not include a function from a C file in the ""function-list"" window",Yang
Bug,function-list,Link to Language,561,v:6.8: Error in menu using Norwegian language,Yang
Enhancement,function-list,function-list ,5539,Make FunctionList sorting setting memorized between sessions,Chang
Enhancement,function-list,function-list ,5248,Add function count in FunctionList panel,Chang
Enhancement,function-list,function-list ,5356,Make FunctionList sorting setting memorized between sessions,Chang
Enhancement,getting-started,getting-started ,1064,Use MSBuild commands for PostBuild events.,Chang
Enhancement,getting-started,getting-started ,1873,Make windows installer translateable,Chang
Enhancement,getting-started,getting-started ,1856,Installer doesn't have a UAC manifest,Chang
Enhancement,getting-started,getting-started ,615,Windows installer - some text not translated,Chang
Enhancement,getting-started,getting-started ,388,Non-privileged installation?,Chang
Bug,Ghost-Typing,Syntax,6165,"Nessus reports vulnerability ""Microsoft Windows Unquoted Service Path Enumeration""",Yang
Bug,macros,Record a macro,5453,Fixed detection of shorcut key conflicts when filtering,Yang
Bug,macros,Play a recoded macro,7730,Fix too small buffer issue during add text macro playback,Yang
Bug,macros,Play a recoded macro,5340,[Potential crash cause]: Fixed macro playback junk char issue,Yang
Bug,macros,Play a recoded macro,5339,Junk character on macro playback,Yang
Bug,macros,Record a macro,2310,Crash while recording a Macro in Notepad++ v7 (x64),Yang
Bug,macros,Save a recorded macro,830,unable to save a macro,Yang
Bug,macros,Play a recoded macro,649,When calling Macro (ALT+letter) or (CTRL+ALT+letter) it adds some characters,Yang
Bug,macros,Record a macro,454,Added missing macro commands (closes #374),Yang
Bug,macros,Record a macro,374,Macro recording for Line Operations -> Remove Empty Lines doesn't work.,Yang
Enhancement,macros,macros ,7516,Make end-of-line conversion operations macroable,Chang
Enhancement,macros,macros ,6258,The options from menu 'Edit' -> 'EOL Conversion' are not macros recordable,Chang
Enhancement,macros,macros ,5972,Fix issue 1948 to make inverse bookmarking macroable,Chang
Enhancement,macros,macros ,1948,Marking issues in recorded macro,Chang
Enhancement,macros,macros ,5500,Enable Scintilla Virtual Space Option change from macro,Chang
Enhancement,macros,macros ,5463,Can't send some type of Scintilla message with macro,Chang
Feature,other-resources,Tabs,1801,dealing with many open documents,Yang
Feature,other-resources,Notepad Replacement,159,Installer should drop privs when executing the installed binary,Yang
Bug,other-resources,Notepad++ Cheat sheet,607,CTRL + mouse wheel menu not working on Windows 10,Yang
Enhancement,other-resources,other-resources ,1568,Allows switching windows inside npp,Chang
Enhancement,other-resources,other-resources ,719,Scrolling with Ctrl+vertical arrow keys changes cursor position,Chang
Feature,plugin-communication,Notepad++ messages,817,Support for backgrund saving of file,Yang
Bug,plugin-communication,Notepad++ messages,5949,Fix the crash due to NPPM_DESTROYSCINTILLAHANDLE message,Yang
Bug,plugin-communication,Notepad++ messages,4487,NPPM_DESTROYSCINTILLAHANDLE may lead to crash npp,Yang
Bug,plugin-communication,Notepad++ messages,763,Incorrect version detection,Yang
Enhancement,plugin-communication,plugin-communication ,4242,Plugins cannot know file status (RO or snapshot dirty) while Notepad++ start up (Fix #4201),Chang
Enhancement,plugin-communication,plugin-communication ,863,#862 - Allow plugins to retrieve settings directory.,Chang
Feature,plugins,Plugin List,5744,Add new plugins API messages for getting/releasing Scintilla indicator number,Yang
Feature,plugins,Plugin List,5802,Allow extra plugin DLL files to be loaded automatically,Yang
Feature,plugins,Plugin List,5311,Support rename for unnamed tabs,Yang
Feature,plugins,Plugin List,3994,Temporarily Name Unsaved Tabs,Yang
Feature,plugins,Plugin Admin,5233,alphabetize Plugins in Plugins Admin,Yang
Feature,plugins,Plugin List,1976,Copy result of find onto other tab,Yang
Feature,plugins,Plugin List,162,Release a pure 64bit binary for windows,Yang
Bug,plugins,How to install a plugin,5030,User plugins dont stay loaded in V7.6,Yang
Bug,plugins,Plugins Admin,5593,Bug Fix: Don't remove whole plugin System,Yang
Bug,plugins,Plugins Admin,5279,Removing an non-plugin-admin-managed plugin causes whole plugins folder to disappear,Yang
Bug,plugins,Plugins Admin,5576,Plugins Admin removes itself and all other plugins,Yang
Bug,plugins,How to install a plugin,5577,No translation for Plugins menu,Yang
Bug,plugins,Plugins Admin,5013,Plugin Admin gup.exe crash,Yang
Bug,plugins,How to develop a plugin,1980,Wrong plugin is reported during plugin crash. The FIRST plugin in the plugin folder is blamed,Yang
Bug,plugins,Plugins Admin,884,Cannot restore window minimized to system tray when running in admin mode,Yang
Bug,plugins,Plugin List,727,Explorer.dll prevents Notepad++ from shuting down,Yang
Bug,plugins,How to develop a plugin,514,Uninitialized read in FileDialog.cpp,Yang
Enhancement,plugins,plugins ,5853,Load plug-ins with LoadLibraryEx,Chang
Enhancement,plugins,plugins ,5652,Plugin install via Plugin Admin silently fails if sourceforge.net is unreachable,Chang
Enhancement,plugins,plugins ,5785,plugin admin UI resizable,Chang
Enhancement,plugins,plugins ,5680,Plugins Admin is resizable and maximizable,Chang
Enhancement,plugins,plugins ,5708,plugin admin date,Chang
Enhancement,plugins,plugins ,5742,Plugins Admin: add plugin release date,Chang
Enhancement,plugins,plugins ,5681,plugins admin UI enhancement,Chang
Feature,Preferences,Highlighting,5034,Highlight trailing white-space,Yang
Feature,Preferences,Editing,4937,Secondary Bertical Edge,Yang
Feature,Preferences,New Document,3522,Add Bulgarian MIK code table under cyrillic character sets,Yang
Feature,Preferences,Style Configurator,3292,syntax highlight for Maxima CAS,Yang
Feature,Preferences,New Document,2105,Add Encoding-Character sets-Chinese-GB18030(Extended Chinese),Yang
Feature,Preferences,General,7749,"Add ""Fold All"" tollbar command in Folder As Workspace",Yang
Feature,Preferences,New Document,5124,add support for GB18030,Yang
Feature,Preferences,Style Configurator,1975,For replace function should be a checkbox to allow replace in readonly files,Yang
Feature,Preferences,Highlighting,1974,string hight light also visible in scrollbar,Yang
Feature,Preferences,New Document,1859,not on Mac,Yang
Feature,Preferences,File Association,1786,Give Notepad++ Default File Associations,Yang
Feature,Preferences,Editing,737,Ability to measure selection,Yang
Feature,Preferences,Editing,731,Make anit-aliasing optional-regalrdless of the Cleartype System settings,Yang
Feature,Preferences,New Document,623,Locking Files,Yang
Feature,Preferences,General,573,Customizable toolbar,Yang
Feature,Preferences,Editing,521,Scroll Tab Bar with mouse wheel,Yang
Feature,Preferences,Editing,519,Simultaneously edit tag pairs in HTML and XML,Yang
Feature,Preferences,MISC,518,Command line argument to read in a Workspace file.,Yang
Feature,Preferences,New Document,515,Mac notepad++  Please!,Yang
Feature,Preferences,MISC,504,skip to last tab quickly,Yang
Feature,Preferences,Editing,482,"soft line wrapping on ""Vertical Edge""",Yang
Feature,Preferences,Auto completion,479,Automatic indentation detection,Yang
Feature,Preferences,General,446,Use Windows file type icons on the tabs,Yang
Feature,Preferences,MISC,342,Export settings to an xml file,Yang
Feature,Preferences,New Document,324,Batch Convert Encoding,Yang
Feature,Preferences,Backup,247,"""pin"" certain recently edited files so that they always stay in the list",Yang
Feature,Preferences,MISC,209,Allows user defined extension to associate workspace files,Yang
Feature,Preferences,MISC,169,Associate file extension with workspace files,Yang
Bug,Preferences,Backup,5419,Search-Results: NPP does not switch to new unsaved files,Yang
Bug,Preferences,General,5294,Notepad++ bug with document map scrollbar on multiple windows desktops,Yang
Bug,Preferences,New Document,3836,"Fix ""Encode in ..."" Menu",Yang
Bug,Preferences,New Document,2812,Different MD5 and SHA-256 sums in ANSI file,Yang
Bug,Preferences,Highlighting,7754,incremental search bar: don't clear 'highlight all' option on closing,Yang
Bug,Preferences,MISC,7524,Fixed #7508,Yang
Bug,Preferences,General,6278,Fix tab dragging issues related to switching off TCS_BUTTONS under multi-line tabs mode (per AngryGamer's suggestions),Yang
Bug,Preferences,MISC,5882,Fix Document Peeker constantly changing focus,Yang
Bug,Preferences,Default Directory,5868,Create file confirmation modal has incorrect file name,Yang
Bug,Preferences,Recent Files History,5672,"In the menu ""File"" localization disappears ""Recent Files"" and ""Restore Recent Closed File""",Yang
Bug,Preferences,Recent Files History,5557,"Localize ""Restore recent close file"" too",Yang
Bug,Preferences,Recent Files History,1476,Restore Recent Closed File translation not picked up,Yang
Bug,Preferences,Editing,5261,N++ crashes when sorting lines with numbers longer than 20 digits,Yang
Bug,Preferences,Editing,5555,Fixed crash,Yang
Bug,Preferences,MISC,5554,Fixed defect #5516,Yang
Bug,Preferences,MISC,680,Resizing panes allows automatic resizing of Other View,Yang
Bug,Preferences,MISC,5516,Resizing panes allows automatic resizing of Other View,Yang
Bug,Preferences,Shortcut Mapper,5549,Adjusted a few Swedish shortcuts in the Find dialog to avoid clashes.¡¦,Yang
Bug,Preferences,General,5479,doc switcher right click column header (ex:name) causes crash,Yang
Bug,Preferences,General,5450,Drag tab switches document sometimes,Yang
Bug,Preferences,Global Styles,5441,Fixed multi cursor bugs,Yang
Bug,Preferences,General,5438,Regression: Fixed crash,Yang
Bug,Preferences,Shortcut Mapper,5374,shortcut mapper conflict doesn't display right when filtered,Yang
Bug,Preferences,New Document,5314,Crash Fixed: Regression,Yang
Bug,Preferences,Search Engine,5312,Bug Fix for Tab context menu,Yang
Bug,Preferences,New Document,5202,Auto Detect UTF-8 Encoding for French is broken in Notepad++ 7.6.x (detects vietnamese windows-1258),Yang
Bug,Preferences,File Association,5041,[BUG]file open bug,Yang
Bug,Preferences,Print,4749,Page header and footer preferences do not set properly,Yang
Bug,Preferences,File Association,4655,Notepad++ is corrupting files and opening them with null values.,Yang
Bug,Preferences,New Document,3738,Fix check sign in Encoding menu not always shown,Yang
Bug,Preferences,Language,3631,Language list shows disabled languages,Yang
Bug,Preferences,General,3186,multi-row tab isn't selected on right-click,Yang
Bug,Preferences,Shortcut Mapper,2928,Moving text with keyboard shortcurts introduces garbage,Yang
Bug,Preferences,Recent Files History,2746,"""Don't check at launch time"" does not work",Yang
Bug,Preferences,Style Configurator,2646,Styler for user-defined highlighting crashes program when given arbitrary string,Yang
Bug,Preferences,Editing,2508,Notepad crashing while making new folder,Yang
Bug,Preferences,Shortcut Mapper,2035,Fixed crash issue,Yang
Bug,Preferences,General,2010,Wrong mouse cursor over title bar  menu and document tabs,Yang
Bug,Preferences,Default Directory,1978,rename will not move a file to a new drive,Yang
Bug,Preferences,New Document,1874,Opening a blank file should use same encoding as for a new document,Yang
Bug,Preferences,General,1736,Notepad++ v6.9.1 crash after update destroying opened file,Yang
Bug,Preferences,Backup,1470,Opening a document in notepad++ via command line will discard unsaved changes.,Yang
Bug,Preferences,MISC,1018,Prevent automatic reload of files before shutdown,Yang
Bug,Preferences,Editing,970,Macro problem with 'Word wrap' in NP++ v6.8.3,Yang
Bug,Preferences,Backup,792,Possible fix for #215 - changing timezone causes all files to appear changed,Yang
Bug,Preferences,Backup,215,changing timezone causes all files to appear changed,Yang
Bug,Preferences,MISC,749,After splitting URL  non-URL part remains underlined,Yang
Bug,Preferences,Language,747,language syntax highlighting lost after compare files,Yang
Bug,Preferences,Recent Files History,740,Special characters not shown in list of recent files,Yang
Bug,Preferences,Language,696,Manually selected language not persistant when moving file to a different window,Yang
Bug,Preferences,General,692,Toolbar: properly refresh when switching over small/big icons,Yang
Bug,Preferences,General,673,Preferences: the main toolbar is not properly refreshed when switching over small/big icons,Yang
Bug,Preferences,MISC,689,Reload marks file as unsaved,Yang
Bug,Preferences,General,674,"Preferences: the dialog loses focus when selecting ""Show Document List panel""",Yang
Bug,Preferences,Default Directory,672,Mouse wheel just don't work in the preferences dialog,Yang
Bug,Preferences,New Document,671,Font: Strange symbols in Windows 10,Yang
Bug,Preferences,Editing,670,Compare plugin forgets word wrap,Yang
Bug,Preferences,General,663,Opening files per drag&drop form explorer does not work anymore,Yang
Bug,Preferences,Default Directory,658,Cannot access files on virtual drives,Yang
Bug,Preferences,Cloud,652,Saving settings to OneDrive on Windows 10,Yang
Bug,Preferences,highlighting,647,"Smart Highlighter and ""Other View""",Yang
Bug,Preferences,General,644,Project Panel missing in 6.8.1,Yang
Bug,Preferences,Style Configurator,634,"Source Code Pro font installed with Notepad++ does not have bold ""&"" character",Yang
Bug,Preferences,Style Configurator,547,Ampersands are not displayed with new Font (Source Code Pro),Yang
Bug,Preferences,General,630,Active tab selection,Yang
Bug,Preferences,Backup,601,Snapshot file not cloned on restart,Yang
Bug,Preferences,Recent Files History,580,HTML Tag (CTRL+Shift+T) not working,Yang
Bug,Preferences,General,579,Tab color red even after save,Yang
Bug,Preferences,MISC,571,Look of Ctrl+Tab window,Yang
Bug,Preferences,Recent Files History,558,Use-after-free in doOpen (from opening recent file),Yang
Bug,Preferences,General,539,The status bar does not adjust the individual segments to the (scaled) string size on HiDPI systems,Yang
Bug,Preferences,Delimiter,533,v6.8: Search for CommaCRLFCRLF finds nothing in a WinDOS UTF-8 [Normal] Text File,Yang
Bug,Preferences,highlighting,532,Fortran syntax highlighting only works on fixed-form code,Yang
Bug,Preferences,Global Styles,527,Global override style does not override line number margin font,Yang
Bug,Preferences,Editing,522,Request for pull of bug fix #520 and subsequent pull of feature #521,Yang
Bug,Preferences,Shortcut Mapper,520,Delete/modify Shortcut/Macro menu with 0 items results in crash,Yang
Bug,Preferences,Editing,517,Line wrap : doesn't work,Yang
